condition,n_trials,cs_plus_choice_rate,expected_choice_rate,expected_choice_binom_p,mean_approach_margin,approach_margin_ci_low,approach_margin_ci_high,mean_signed_final_y,signed_final_y_ci_low,signed_final_y_ci_high,mean_path_length,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,mb_perturbation,expected_behavior,expected_choice_fdr_q
mch_sucrose_appetitive_wt_counterbalanced,50,1.0,1.0,1.7763568394002505e-15,5.732040859506343,5.687756117763569,5.776325601249117,3.5878416299819946,3.529543870678591,3.6461393892853984,9.032643792608052,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,wild_type_connectome,approach_CS_plus,1.7763568394002505e-15
oct_shock_aversive_wt,50,0.0,1.0,1.7763568394002505e-15,-5.351253278973129,-5.41149393514525,-5.2910126228010075,-4.092636790275574,-4.205549986774125,-3.9797235937770226,9.17924360219231,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,wild_type_connectome,avoid_CS_plus,1.7763568394002505e-15
oct_sucrose_appetitive_wt,50,1.0,1.0,1.7763568394002505e-15,5.747300929835593,5.7043239601149045,5.790277899556281,3.551909341812134,3.496249043543416,3.6075696400808517,9.008011728061037,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,approach_CS_plus,1.7763568394002505e-15
oct_sucrose_left_mb_silenced,50,1.0,1.0,1.7763568394002505e-15,5.736846822149223,5.688913690968639,5.784779953329807,3.5546240615844726,3.5001413836707753,3.60910673949817,8.987712830081467,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,1.7763568394002505e-15
oct_sucrose_mb_swapped,50,1.0,1.0,1.7763568394002505e-15,5.742420554404398,5.7020484754228065,5.78279263338599,3.5439724731445312,3.4834074148101677,3.6045375314788948,8.98918858210082,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_swapped,reversed_lateralization_prediction,1.7763568394002505e-15
oct_sucrose_mb_symmetrized,50,1.0,1.0,1.7763568394002505e-15,5.691617354945788,5.636208410706113,5.747026299185464,3.553716082572937,3.4911004833187413,3.6163316818271327,9.050488714481785,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_averaged,reduced_lateralization_index,1.7763568394002505e-15
oct_sucrose_right_mb_silenced,50,1.0,1.0,1.7763568394002505e-15,5.767973778259156,5.735116542493188,5.800831014025125,3.5638239669799803,3.498462733338909,3.6291852006210514,8.99514826027937,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,right_MB_gain_0.25,altered_output_or_choice_bias,1.7763568394002505e-15
weak_oct_strong_mch_conflict,50,1.0,1.0,1.7763568394002505e-15,5.77090957578609,5.729796533864889,5.812022617707292,3.593099570274353,3.5360806715412774,3.650118469007429,9.03992720654701,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,memory_dependent_CS_plus_rescue,1.7763568394002505e-15
