condition,n_trials,cs_plus_choice_rate,mean_signed_final_y,mean_abs_signed_final_y,mean_distance_to_cs_plus,mean_approach_margin,mean_path_length,left_cs_plus_margin,right_cs_plus_margin,left_cs_plus_signed_y,right_cs_plus_signed_y,behavioral_side_asymmetry,lateral_memory_bias,attractive_left_weight,attractive_right_weight,aversive_left_weight,aversive_right_weight,alpha_prime_beta_prime_serotonin_strength,alpha_prime_beta_prime_glutamate_strength,combined_asymmetry_strength
amplified_left_axis,2,0.5,3.147925168275833,3.9691698253154755,5.215788856592667,2.197065027857899,18.8547848333171,-1.0346114890704667,5.428741544786265,-0.8212446570396423,7.117094993591309,6.463353033856731,-0.438,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
amplified_right_axis,2,0.5,3.455493412911892,3.6309848204255104,5.137364344746306,2.583349633747706,18.250860676773108,-0.21255186095432776,5.37925112844974,-0.1754914075136184,7.086478233337402,5.5918029894040675,0.63,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
bilateral_memory_blunted,2,0.5,3.3579424768686295,3.4299765676259995,4.913665765628073,2.600229875195387,18.16583809537771,5.291811098601834,-0.09135134821106039,6.787919044494629,-0.07203409075737,-5.383162446812895,0.0,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
control,2,1.0,5.065810918807983,5.065810918807983,5.226856039706787,3.9223719474301038,18.58108829273842,1.9985276578527005,5.846216237007507,2.0132298469543457,8.118391990661621,3.8476885791548066,0.0,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
left_mb_glutamate_enriched,2,1.0,8.216896057128906,8.216896057128906,5.464776768204118,5.869383225949623,18.771659095916654,5.908070217358217,5.830696234541029,8.313471794128418,8.120320320129395,-0.07737398281718821,-0.219,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
mirror_reversal,2,1.0,6.0109474658966064,6.0109474658966064,5.3806024687773775,4.529565716007212,18.80737661091831,5.9952464092622,3.063885022752223,8.617898941040039,3.403995990753174,-2.931361386509977,-0.267,9.0,1.0,10.0,0.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
right_mb_serotonin_enriched,2,1.0,4.724251806735992,4.724251806735992,5.500549848002232,3.310999855144108,18.698295845613217,5.988189576669256,0.6338101336189608,8.876123428344727,0.5723801851272583,-5.354379443050295,0.315,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
symmetric_rescue,2,1.0,4.286681022495031,4.286681022495031,5.645789467877732,2.98633009928923,18.771398314266477,5.9298302910850005,0.042829907493459274,8.533074378967285,0.0402876660227775,-5.887000383591541,0.0,1.0,1.0,5.0,5.0,0.3150497113253413,0.2193061697961474,0.2671779405607444
