cs_plus_side,metric,n_points,pearson_r,spearman_r,linear_slope_per_bias_unit,metric_range
left,mean_approach_margin,7,-0.2568998597677022,-0.28571428571428575,-0.06157414725460849,0.3399904458430676
left,mean_distance_to_cs_plus,7,0.5486393285139334,0.4642857142857144,0.2177883512325992,0.6043044159280206
left,mean_path_length,7,-0.11055812728446757,-0.21428571428571433,-0.0453962935382461,0.6585690590343418
left,mean_signed_final_y,7,0.5328019082930409,0.4642857142857144,0.13861535276685352,0.43835568428039506
right,mean_approach_margin,7,-0.17822905063472372,-0.14285714285714288,-0.026896717428396805,0.2534504934043236
right,mean_distance_to_cs_plus,7,0.22027894122365335,0.42857142857142866,0.06202154678847089,0.36869664811539704
right,mean_path_length,7,-0.3849842955673363,-0.21428571428571433,-0.16724017670274108,0.5904889704358833
right,mean_signed_final_y,7,0.13711917575428895,0.07142857142857144,0.025838153702872308,0.2506664991378784
