condition,n_trials,cs_plus_choice_rate,mean_signed_final_y,mean_abs_signed_final_y,mean_distance_to_cs_plus,mean_approach_margin,mean_path_length,left_cs_plus_margin,right_cs_plus_margin,left_cs_plus_signed_y,right_cs_plus_signed_y,behavioral_side_asymmetry,lateral_memory_bias,attractive_left_weight,attractive_right_weight,aversive_left_weight,aversive_right_weight,alpha_prime_beta_prime_serotonin_strength,alpha_prime_beta_prime_glutamate_strength,combined_asymmetry_strength,functional_condition,memory_axis_abs_mass,mbon_abs_mass,dan_abs_mass,mbin_abs_mass,apl_abs_mass,dpm_abs_mass,response_laterality_abs,max_abs_target_score,min_empirical_fdr_q,memory_axis_abs_mass_x_approach_margin,mbon_abs_mass_x_approach_margin,dan_abs_mass_x_approach_margin,mbin_abs_mass_x_approach_margin,apl_abs_mass_x_approach_margin,dpm_abs_mass_x_approach_margin,response_laterality_abs_x_approach_margin,max_abs_target_score_x_approach_margin
mirror_reversal,2,1.0,6.0109474658966064,6.0109474658966064,5.3806024687773775,4.529565716007212,18.80737661091831,5.9952464092622,3.063885022752223,8.617898941040039,3.403995990753174,-2.931361386509977,-0.267,9.0,1.0,10.0,0.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,left_glutamate_activate_silence_right_serotonin,1.14915369451046,0.349572092294693,0.1908136904239654,0.3043839633464813,0.1506042033433914,0.1537797451019287,-0.8302888571078725,0.1534176766872406,,5.205167177077604,1.5834097645309502,0.8643031502892072,1.3787271648766175,0.6821716361508043,0.6965554612300242,-3.76084794153863,0.6949154485520038
amplified_left_axis,2,0.5,3.147925168275833,3.9691698253154755,5.215788856592667,2.197065027857899,18.8547848333171,-1.0346114890704667,5.428741544786265,-0.8212446570396423,7.117094993591309,6.463353033856731,-0.438,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,left_glutamate_kc_activate,1.1488261073827744,0.3494683802127838,0.1907583028078079,0.3042997121810913,0.1505682319402694,0.1537314802408218,-0.8300210300816938,0.1533755511045456,0.0381633870005963,2.5240456636208166,0.7678047565076547,0.419108395872562,0.6685662556203,0.33080819670236256,0.3377580589179372,-1.8236101775790785,0.33697605946022907
left_mb_glutamate_enriched,2,1.0,8.216896057128906,8.216896057128906,5.464776768204118,5.869383225949623,18.771659095916654,5.908070217358217,5.830696234541029,8.313471794128418,8.120320320129395,-0.07737398281718821,-0.219,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,left_glutamate_kc_activate,1.1488261073827744,0.3494683802127838,0.1907583028078079,0.3042997121810913,0.1505682319402694,0.1537314802408218,-0.8300210300816938,0.1533755511045456,0.0381633870005963,6.7429006842054555,2.0511638488206985,1.1196335827107664,1.7860516263369954,0.8837426549111094,0.9023089714258854,-4.871711511146921,0.9002198869237991
bilateral_memory_blunted,2,0.5,3.3579424768686295,3.4299765676259995,4.913665765628073,2.600229875195387,18.16583809537771,5.291811098601834,-0.09135134821106039,6.787919044494629,-0.07203409075737,-5.383162446812895,0.0,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,right_serotonin_activate_silence_left_glutamate,1.107694149017334,0.3706181645393371,0.1862452030181884,0.2754153907299042,0.148795336484909,0.1266200542449951,0.8430979756813733,0.1486450582742691,,2.8802594188540027,0.9636924237252639,0.4842803409997235,0.7161433270645075,0.38690207921781056,0.3292412478466967,2.1922485440834607,0.3865113213249138
amplified_right_axis,2,0.5,3.455493412911892,3.6309848204255104,5.137364344746306,2.583349633747706,18.250860676773108,-0.21255186095432776,5.37925112844974,-0.1754914075136184,7.086478233337402,5.5918029894040675,0.63,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,right_serotonin_kc_activate,1.1075391918420792,0.3705644011497497,0.1862142980098724,0.2753802537918091,0.1487813591957092,0.1265988796949386,0.8429483436767284,0.1486266702413559,0.0381633870005963,2.8611609656064654,0.9572974099901439,0.48105663856239006,0.7114034777744204,0.38435426978672127,0.32704916949278956,2.1776302949055117,0.38395465413314783
right_mb_serotonin_enriched,2,1.0,4.724251806735992,4.724251806735992,5.500549848002232,3.310999855144108,18.698295845613217,5.988189576669256,0.6338101336189608,8.876123428344727,0.5723801851272583,-5.354379443050295,0.315,1.0,9.0,0.0,10.0,0.3150497113253413,0.2193061697961474,0.2671779405607444,right_serotonin_kc_activate,1.1075391918420792,0.3705644011497497,0.1862142980098724,0.2753802537918091,0.1487813591957092,0.1265988796949386,0.8429483436767284,0.1486266702413559,0.0381633870005963,3.667062103755547,1.2269386785283845,0.6165555137364493,0.9117839804142276,0.49261505874513667,0.4191688723313481,2.7910018438076136,0.4921028836396805
