target,feature,coefficient,feature_mean,feature_std
forward_drive,intercept,0.4080306829864143,,
forward_drive,descending_abs_mass,-0.051870279961311556,0.2335769841447472,0.160871918692594
forward_drive,descending_signed_mass,-0.03990672750437957,0.0689858223777264,0.08069709416784107
forward_drive,memory_axis_abs_mass,0.036311302760063266,0.08173035897198133,0.09903901144492346
forward_drive,memory_axis_signed_mass,-0.015065768023158633,0.04526160188834182,0.11867290803162578
forward_drive,visual_projection_abs_mass,-0.03295667701897242,1.0658107548952103,0.16881431270375608
forward_drive,visual_projection_signed_mass,0.01269268200744779,0.23050142638385288,0.4307149817292554
forward_drive,gustatory_abs_mass,-0.04165452749033229,0.06460010653972856,0.09336208386243423
forward_drive,gustatory_signed_mass,0.043956981892956985,-0.05234691432997348,0.07599766807287296
forward_drive,mechanosensory_abs_mass,-0.08361780606781033,0.06767834967467931,0.06579011837495878
forward_drive,mechanosensory_signed_mass,0.08217181327214781,-0.05631252517923707,0.05491751426775646
turning_drive,intercept,0.2191486649663959,,
turning_drive,descending_abs_mass,-0.017847796870165484,0.2335769841447472,0.160871918692594
turning_drive,descending_signed_mass,-0.0009137441175658885,0.0689858223777264,0.08069709416784107
turning_drive,memory_axis_abs_mass,0.038298677261910524,0.08173035897198133,0.09903901144492346
turning_drive,memory_axis_signed_mass,0.07275552926001877,0.04526160188834182,0.11867290803162578
turning_drive,visual_projection_abs_mass,0.07799485125328517,1.0658107548952103,0.16881431270375608
turning_drive,visual_projection_signed_mass,0.052089199118027354,0.23050142638385288,0.4307149817292554
turning_drive,gustatory_abs_mass,0.0006974685935600412,0.06460010653972856,0.09336208386243423
turning_drive,gustatory_signed_mass,-0.0022867845928465293,-0.05234691432997348,0.07599766807287296
turning_drive,mechanosensory_abs_mass,0.015697191665935584,0.06767834967467931,0.06579011837495878
turning_drive,mechanosensory_signed_mass,-0.014795808968731962,-0.05631252517923707,0.05491751426775646
feeding_drive,intercept,0.4494065361287985,,
feeding_drive,descending_abs_mass,-0.08432678928860199,0.2335769841447472,0.160871918692594
feeding_drive,descending_signed_mass,-0.11693401729664976,0.0689858223777264,0.08069709416784107
feeding_drive,memory_axis_abs_mass,0.05936805798312004,0.08173035897198133,0.09903901144492346
feeding_drive,memory_axis_signed_mass,0.12894258845493137,0.04526160188834182,0.11867290803162578
feeding_drive,visual_projection_abs_mass,0.09047797785600621,1.0658107548952103,0.16881431270375608
feeding_drive,visual_projection_signed_mass,0.03680036812652565,0.23050142638385288,0.4307149817292554
feeding_drive,gustatory_abs_mass,0.11418132881829679,0.06460010653972856,0.09336208386243423
feeding_drive,gustatory_signed_mass,-0.11527100351875783,-0.05234691432997348,0.07599766807287296
feeding_drive,mechanosensory_abs_mass,0.021557799859345448,0.06767834967467931,0.06579011837495878
feeding_drive,mechanosensory_signed_mass,-0.04430867569812458,-0.05631252517923707,0.05491751426775646
grooming_drive,intercept,0.2564348933598795,,
grooming_drive,descending_abs_mass,0.08902521693079028,0.2335769841447472,0.160871918692594
grooming_drive,descending_signed_mass,0.11932904803084288,0.0689858223777264,0.08069709416784107
grooming_drive,memory_axis_abs_mass,-0.03232481513802377,0.08173035897198133,0.09903901144492346
grooming_drive,memory_axis_signed_mass,0.011571129146439802,0.04526160188834182,0.11867290803162578
grooming_drive,visual_projection_abs_mass,0.062079970328486854,1.0658107548952103,0.16881431270375608
grooming_drive,visual_projection_signed_mass,0.022993028121228345,0.23050142638385288,0.4307149817292554
grooming_drive,gustatory_abs_mass,-0.03607460749263076,0.06460010653972856,0.09336208386243423
grooming_drive,gustatory_signed_mass,0.032658789625084166,-0.05234691432997348,0.07599766807287296
grooming_drive,mechanosensory_abs_mass,0.08722442387924227,0.06767834967467931,0.06579011837495878
grooming_drive,mechanosensory_signed_mass,-0.06906580504627792,-0.05631252517923707,0.05491751426775646
visual_steering_drive,intercept,0.022500000000000003,,
visual_steering_drive,descending_abs_mass,-0.0013943807780800058,0.2335769841447472,0.160871918692594
visual_steering_drive,descending_signed_mass,-0.0006796075929509011,0.0689858223777264,0.08069709416784107
visual_steering_drive,memory_axis_abs_mass,0.0027996593261815817,0.08173035897198133,0.09903901144492346
visual_steering_drive,memory_axis_signed_mass,0.006598912020116124,0.04526160188834182,0.11867290803162578
visual_steering_drive,visual_projection_abs_mass,0.0068297270200948865,1.0658107548952103,0.16881431270375608
visual_steering_drive,visual_projection_signed_mass,0.003866163806531951,0.23050142638385288,0.4307149817292554
visual_steering_drive,gustatory_abs_mass,0.0017259602234281064,0.06460010653972856,0.09336208386243423
visual_steering_drive,gustatory_signed_mass,-0.0018794977287564507,-0.05234691432997348,0.07599766807287296
visual_steering_drive,mechanosensory_abs_mass,0.0024349592937631037,0.06767834967467931,0.06579011837495878
visual_steering_drive,mechanosensory_signed_mass,-0.0025753942324356896,-0.05631252517923707,0.05491751426775646
