condition,reference,n_condition,n_reference,delta_mean_approach_margin,welch_t_approach_margin,welch_p_approach_margin,delta_mean_signed_final_y,welch_t_signed_final_y,welch_p_signed_final_y,delta_mean_path_length,welch_t_path_length,welch_p_path_length,delta_mean_expected_early_lateral_displacement,welch_t_expected_early_lateral_displacement,welch_p_expected_early_lateral_displacement,delta_mean_early_expected_lateral_velocity,welch_t_early_expected_lateral_velocity,welch_p_early_expected_lateral_velocity,delta_mean_expected_laterality_index,welch_t_expected_laterality_index,welch_p_expected_laterality_index,delta_mean_expected_curvature_rad_per_mm,welch_t_expected_curvature_rad_per_mm,welch_p_expected_curvature_rad_per_mm,delta_mean_physical_laterality_index,welch_t_physical_laterality_index,welch_p_physical_laterality_index,delta_mean_time_to_expected_zone_s,welch_t_time_to_expected_zone_s,welch_p_time_to_expected_zone_s,welch_t,welch_p,welch_fdr_q,welch_fdr_q_approach_margin,welch_fdr_q_signed_final_y,welch_fdr_q_path_length,welch_fdr_q_expected_early_lateral_displacement,welch_fdr_q_early_expected_lateral_velocity,welch_fdr_q_expected_laterality_index,welch_fdr_q_expected_curvature_rad_per_mm,welch_fdr_q_physical_laterality_index,welch_fdr_q_time_to_expected_zone_s
mch_sucrose_appetitive_wt_counterbalanced,mch_sucrose_appetitive_wt_counterbalanced,100,100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oct_shock_aversive_wt,oct_shock_aversive_wt,100,100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oct_sucrose_appetitive_wt,oct_sucrose_appetitive_wt,100,100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oct_sucrose_left_mb_silenced,oct_sucrose_appetitive_wt,100,100,0.03229658376603489,0.9737035448822192,0.3313938655913067,0.021445733284344903,0.9574003382497686,0.33953561834656165,0.005338051651828657,0.21934313351035442,0.8266089735676729,-0.009563415255397553,-1.2576498319473877,0.21000215048601373,-0.19117267095539703,-1.2576498319473872,0.21000215048601395,0.010580693226109994,0.9646842366166122,0.33588484007355457,-1.561230438421998,-2.0831101545051545,0.03852547927731752,-0.005374019527230222,-0.3098331024129148,0.7570142458140126,,,,0.9737035448822192,0.3313938655913067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17053302538424225,1.0,
oct_sucrose_mb_swapped,oct_sucrose_appetitive_wt,100,100,-0.0020278053661059725,-0.06185816358624917,0.9507384558205947,-0.0020723738020751448,-0.09355587138812191,0.9255570719482392,-0.00895353476855476,-0.3711917121443599,0.7108917212305939,0.0031875155685702206,0.43141016846976876,0.6666396267064265,0.06371843621571871,0.43141016846976865,0.6666396267064263,-0.0008044679696820323,-0.07346026832701515,0.9415143728646945,-1.5414529741007026,-2.040448494856535,0.04263325634606056,-0.009617480853730029,-0.5765171467581217,0.5649214163604767,,,,-0.06185816358624917,0.9507384558205947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17053302538424225,1.0,
oct_sucrose_mb_symmetrized,oct_sucrose_appetitive_wt,100,100,0.027125613232078127,0.7854650732771672,0.4331212654058407,0.016981302530330145,0.7292939729416456,0.4666843871095563,0.029532952140889357,1.2173354116172563,0.22492660828667232,0.004526790376985425,0.5876656991030246,0.5574291553666251,0.09049053963593867,0.5876656991030248,0.5574291553666246,0.0067840604932438014,0.5973577969690552,0.5509510684396866,-0.5942036294381716,-0.7852887906658317,0.43322300525838675,0.0038855043355919398,0.2235987743397418,0.8233004884322785,,,,0.7854650732771672,0.4331212654058407,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6931568084134188,1.0,
oct_sucrose_right_mb_silenced,oct_sucrose_appetitive_wt,100,100,0.03860540507669358,1.1468031008354802,0.252847111701879,0.026536901590880013,1.1635231594961981,0.24601774151617026,-0.004285723405486941,-0.18134601742844123,0.8562816030633376,0.0010643467621411981,0.14420110952710274,0.8854883777296267,0.021276291775202738,0.144201109527104,0.8854883777296257,0.01380370581449987,1.2294221809330936,0.22037294407975214,-1.1144702179783337,-1.5601407993271927,0.12034314455866603,-0.004808451841437457,-0.27167890618865714,0.7861537105148163,,,,1.1468031008354802,0.252847111701879,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31464623221007354,1.0,
weak_oct_strong_mch_conflict,oct_sucrose_appetitive_wt,100,100,-0.00046301954954391933,-0.013562966161281158,0.9891923106042706,-0.0004007050173822635,-0.017311709647215408,0.9862053810293889,0.0018738099208586156,0.07891323857600988,0.9371813458874725,0.002493577917339264,0.3242075228767477,0.7461244901372692,0.049846622567611854,0.3242075228767474,0.7461244901372694,7.976134912257571e-05,0.006949789947612775,0.9944619165866024,-1.0873255954348018,-1.4195151644098325,0.15732311610503677,-0.01249839322027928,-0.7325623648477636,0.4646917518395778,,,,-0.013562966161281158,0.9891923106042706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31464623221007354,1.0,
