condition,trial,cs_plus_side,n_steps,requested_run_time_s,simulated_time_s,stopped_early,final_x,final_y,final_z,path_length,mean_y,signed_final_y,distance_to_cs_plus,distance_to_cs_minus,choice,video_frame_count,video_duration_s,render_device,video_path,trajectory_path,plot_path,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,memory_phase,mb_perturbation,expected_behavior,biological_question,source_forward_drive,source_turning_drive,source_feeding_drive,choice_is_cs_plus,approach_margin,expected_choice_met,assay_side_role,early_time_s,physical_lateral_displacement,signed_early_lateral_displacement,expected_early_lateral_displacement,early_signed_lateral_velocity_to_cs_plus,early_expected_lateral_velocity,signed_lateral_velocity_to_cs_plus,expected_lateral_velocity,physical_laterality_index,cs_plus_laterality_index,expected_laterality_index,net_heading_rad,signed_net_heading_to_cs_plus_rad,early_heading_rad,signed_early_heading_to_cs_plus_rad,physical_curvature_rad_per_mm,signed_curvature_to_cs_plus_rad_per_mm,expected_curvature_rad_per_mm,time_to_expected_zone_s
mch_sucrose_appetitive_wt_counterbalanced,0,right,2000,0.2,0.2,False,1.1155270338058472,-0.1065906509757042,1.1141105890274048,1.8493935000745545,0.0211333295321092,0.1065906509757042,4.085584652620246,4.2392322141438,CS+,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.1536475615235542,1.0,nominal,0.05002501250625313,-0.1138971364125609,0.012048157397657501,0.012048157397657501,0.24084266637917343,0.24084266637917343,0.5694856820628045,0.5694856820628045,-0.0615862099699006,0.0615862099699006,0.0615862099699006,-0.10326074043931685,0.10326074043931685,-0.04911780445087483,0.04911780445087483,-0.44849273906874654,0.44849273906874654,0.44849273906874654,
mch_sucrose_appetitive_wt_counterbalanced,0,left,2000,0.2,0.2,False,1.5350956916809082,0.21679885685443878,1.0055475234985352,2.1899406590985415,0.053379984162240365,0.21679885685443878,3.7177899150404907,4.052597702046189,CS+,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.334807787005698,1.0,mirror,0.05002501250625313,0.2094918065704405,-0.0511230654083191,-0.0511230654083191,-1.0219500775122987,-1.0219500775122987,1.0474590328522024,1.0474590328522024,0.09566095122261209,0.09566095122261209,0.09566095122261209,0.13708087482337802,0.13708087482337802,-0.4442728983176407,-0.4442728983176407,-3.2727566281061393,-3.2727566281061393,-3.2727566281061393,
mch_sucrose_appetitive_wt_counterbalanced,1,right,2000,0.2,0.2,False,1.4664430618286133,-0.27243858575820923,0.9800708889961243,2.1022593647064767,0.0004441345680461382,0.27243858575820923,3.722700904909908,4.138570412173213,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.4158695072633054,1.0,nominal,0.05002501250625313,-0.2797453124076127,-0.0972852017730475,-0.0972852017730475,-1.9447311834432195,-1.9447311834432195,1.3987265620380633,1.3987265620380633,-0.13306888631540073,0.13306888631540073,0.13306888631540073,-0.19058647763151987,0.19058647763151987,0.363298077569351,-0.363298077569351,3.1252671389988476,-3.1252671389988476,-3.1252671389988476,
mch_sucrose_appetitive_wt_counterbalanced,1,left,2000,0.2,0.2,False,1.3153069019317627,-0.05313647538423538,0.9385285973548889,1.8810129451115867,-0.06037560588386259,-0.05313647538423538,4.065614267012662,3.986424671748618,CS-,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.07918959526404379,0.0,mirror,0.05002501250625313,-0.0604436164721845,-0.0980698829516767,-0.0980698829516767,-1.9604169602040171,-1.9604169602040171,-0.30221808236092246,-0.30221808236092246,-0.032133546251909936,-0.032133546251909936,-0.032133546251909936,-0.046502286344546624,-0.046502286344546624,-0.27499384792445264,-0.27499384792445264,-3.8153057533379524,-3.8153057533379524,-3.8153057533379524,
mch_sucrose_appetitive_wt_counterbalanced,2,right,2000,0.2,0.2,False,1.4744616746902466,-0.07795616239309311,0.9919209480285645,2.4253246904555117,0.015784040484425645,0.07795616239309311,3.8622123221678133,3.9814768579287274,CS+,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.11926453576091411,1.0,nominal,0.05002501250625313,-0.08526321314275259,-0.036227947100997,-0.036227947100997,-0.72419666254893,-0.72419666254893,0.42631606571376296,0.42631606571376296,-0.03515538083551976,0.03515538083551976,0.03515538083551976,-0.058412370930009394,0.058412370930009394,0.12805823774501834,-0.12805823774501834,-7.782055726255336,7.782055726255336,7.782055726255336,
mch_sucrose_appetitive_wt_counterbalanced,2,left,2000,0.2,0.2,False,1.1166017055511475,0.1766708493232727,1.0588728189468384,1.8409478625281748,0.016311905281061627,0.1766708493232727,4.035489216624364,4.290130931495074,CS+,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.2546417148707105,1.0,mirror,0.05002501250625313,0.1693642726168037,0.010353199206292601,0.010353199206292601,0.20696045213378908,0.20696045213378908,0.8468213630840185,0.8468213630840185,0.09199840802890293,0.09199840802890293,0.09199840802890293,0.15274640570758122,0.15274640570758122,0.03610051315807972,0.03610051315807972,0.8009937430845354,0.8009937430845354,0.8009937430845354,
mch_sucrose_appetitive_wt_counterbalanced,3,right,2000,0.2,0.2,False,1.1894657611846924,-0.2556788921356201,1.0932120084762573,1.9487595109763665,-0.00561190230682223,0.2556788921356201,3.9281549168309438,4.300993810301354,CS+,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.3728388934704103,1.0,nominal,0.05002501250625313,-0.26298598758876324,-0.017578996717929802,-0.017578996717929802,-0.3514041443914167,-0.3514041443914167,1.3149299379438162,1.3149299379438162,-0.13495045751284218,0.13495045751284218,0.13495045751284218,-0.220548539069764,0.220548539069764,0.10206667313025666,-0.10206667313025666,2.948810193509273,-2.948810193509273,-2.948810193509273,
mch_sucrose_appetitive_wt_counterbalanced,3,left,2000,0.2,0.2,False,1.1202317476272583,0.3940260708332062,0.9912906289100647,1.768904983279846,0.1627818895882665,0.3940260708332062,3.883833841305646,4.451121000025662,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.5672871587200157,1.0,mirror,0.05002501250625313,0.38671870576217776,0.0433572013862431,0.0433572013862431,0.8667104557109995,0.8667104557109995,1.9335935288108888,1.9335935288108888,0.21862039477391065,0.21862039477391065,0.21862039477391065,0.33699228972950723,0.33699228972950723,0.2693491544867243,0.2693491544867243,-7.153598503353704,-7.153598503353704,-7.153598503353704,
mch_sucrose_appetitive_wt_counterbalanced,4,right,2000,0.2,0.2,False,1.3188644647598267,-0.01038374099880457,1.068408727645874,2.038527956422935,0.06256820855512342,0.01038374099880457,4.015755611888243,4.031240259076302,CS+,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.01548464718805942,1.0,nominal,0.05002501250625313,-0.0176904755644499,0.0093659507110714,0.0093659507110714,0.18722535471431725,0.18722535471431725,0.0884523778222495,0.0884523778222495,-0.008678063751204031,0.008678063751204031,0.008678063751204031,-0.013581944901445719,0.013581944901445719,-0.05044903774727206,0.05044903774727206,-3.081197537357552,3.081197537357552,3.081197537357552,
mch_sucrose_appetitive_wt_counterbalanced,4,left,2000,0.2,0.2,False,1.6408151388168335,-0.03005770407617092,0.9217483997344971,2.444001639222684,-0.06377485911620352,-0.03005770407617092,3.8401826648308273,3.7929290067641843,CS-,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.047253658066642945,0.0,mirror,0.05002501250625313,-0.0373651129193603,0.015036822762340299,0.015036822762340299,0.30058608701918255,0.30058608701918255,-0.1868255645968015,-0.1868255645968015,-0.01528849748695107,-0.01528849748695107,-0.01528849748695107,-0.02299878006187336,-0.02299878006187336,0.05813050592952834,0.05813050592952834,0.8465311491717104,0.8465311491717104,0.8465311491717104,
