condition,n_trials,n_nominal_side_trials,n_mirror_side_trials,cs_plus_choice_rate,expected_choice_rate,expected_choice_binom_p,mean_approach_margin,approach_margin_ci_low,approach_margin_ci_high,mean_signed_final_y,signed_final_y_ci_low,signed_final_y_ci_high,mean_path_length,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,mb_perturbation,expected_behavior,mean_early_time_s,mean_physical_lateral_displacement,mean_signed_early_lateral_displacement,mean_expected_early_lateral_displacement,mean_early_signed_lateral_velocity_to_cs_plus,mean_early_expected_lateral_velocity,mean_signed_lateral_velocity_to_cs_plus,mean_expected_lateral_velocity,mean_physical_laterality_index,mean_cs_plus_laterality_index,mean_expected_laterality_index,mean_net_heading_rad,mean_signed_net_heading_to_cs_plus_rad,mean_early_heading_rad,mean_signed_early_heading_to_cs_plus_rad,mean_physical_curvature_rad_per_mm,mean_signed_curvature_to_cs_plus_rad_per_mm,mean_expected_curvature_rad_per_mm,mean_time_to_expected_zone_s,expected_choice_fdr_q
mch_sucrose_appetitive_wt_counterbalanced,100,50,50,0.85,0.85,4.825421503937195e-13,0.24590408960625354,0.20461571759387773,0.2871924616186293,0.16691983381053432,0.13890683208355464,0.194932835537514,1.999027816472274,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,wild_type_connectome,approach_CS_plus,0.0500250125062531,0.002795863018836862,-0.027171245955978487,-0.027171245955978487,-0.54315320666001,-0.54315320666001,0.8345987595035692,0.8345987595035692,0.0015939632287782345,0.08406138397458364,0.08406138397458364,0.0018128549402738545,0.13405421232214496,0.0064223791785260765,-0.12219037350768344,-1.5221387174073888,-0.7223228265179202,-0.7223228265179202,,4.825421503937195e-13
oct_shock_aversive_wt,100,50,50,0.14,0.86,8.284451872080075e-14,-0.24440678061823096,-0.2881471693759131,-0.2006663918605488,-0.1661539310682565,-0.19567534295642133,-0.13663251918009164,2.0303686180540126,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,wild_type_connectome,avoid_CS_plus,0.0500250125062531,0.015016648364253388,0.027660283711738853,-0.027660283711738853,0.5529290713976599,-0.5529290713976599,-0.8307691628811881,0.8307691628811881,0.007508341171131673,-0.08348767007430034,0.08348767007430034,0.013161707523530965,-0.1342506629231368,-0.004151087403089742,0.12938152390700358,-2.3464017544110645,0.822828563031021,-0.822828563031021,,9.467944996662942e-14
oct_sucrose_appetitive_wt,100,50,50,0.86,0.86,8.284451872080075e-14,0.2653707576665711,0.21845448112892885,0.31228703420421333,0.17992277467274106,0.1481192497335573,0.21172629961192482,2.014405034583501,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,approach_CS_plus,0.0500250125062531,0.004477955574402634,-0.028764470042660795,-0.028764470042660795,-0.5750017561527895,-0.5750017561527895,0.899613429402234,0.899613429402234,0.001040054322640481,0.08915027055058537,0.08915027055058537,0.0017068870930978227,0.1429088930112895,-0.007512844831888763,-0.13055461423681491,-2.649439362831055,0.3316950443694228,0.3316950443694228,,9.467944996662942e-14
oct_sucrose_left_mb_silenced,100,50,50,0.89,0.89,2.540853335492305e-16,0.297667341432606,0.25266428791253764,0.3426703949526743,0.20136850795708597,0.1711015151598675,0.23163550075430445,2.0197430862353296,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,0.0500250125062531,-0.007670569452457095,-0.03832788529805835,-0.03832788529805835,-0.7661744271081865,-0.7661744271081865,1.0068421358941122,1.0068421358941122,-0.0043339652045897405,0.09973096377669537,0.09973096377669537,-0.008257135482727286,0.1579525644826216,-0.022616293631913326,-0.1689057501482983,-2.364410733638472,-1.229535394052575,-1.229535394052575,,6.775608894646147e-16
oct_sucrose_mb_swapped,100,50,50,0.87,0.87,1.312981552203585e-14,0.2633429523004651,0.2194435543937776,0.3072423502071526,0.17785040087066592,0.14829513782362397,0.20740566391770787,2.005451499814946,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_swapped,reversed_lateralization_prediction,0.0500250125062531,-0.016212986498139754,-0.025576954474090575,-0.025576954474090575,-0.5112833199370708,-0.5112833199370708,0.889251375501044,0.889251375501044,-0.008577426531089548,0.08834580258090334,0.08834580258090334,-0.01029134058345426,0.1394455254612467,-0.0321333775200952,-0.12895278537491056,-2.3543343178878904,-1.2097579297312797,-1.2097579297312797,,2.100770483525736e-14
oct_sucrose_mb_symmetrized,100,50,50,0.89,0.89,2.540853335492305e-16,0.2924963708986492,0.24370634478969627,0.34128639700760216,0.1969040772030712,0.1641727138434797,0.22963544056266272,2.0439379867243903,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_averaged,reduced_lateralization_index,0.0500250125062531,0.014426087374740786,-0.02423767966567537,-0.02423767966567537,-0.4845112165168508,-0.4845112165168508,0.9845198647075448,0.9845198647075448,0.004925558658232421,0.09593433104382917,0.09593433104382917,0.0058440816911950735,0.15118892331776082,0.02244582557403093,-0.11050585579590783,-2.4322951104930453,-0.26250858506874886,-0.26250858506874886,,6.775608894646147e-16
oct_sucrose_right_mb_silenced,100,50,50,0.89,0.89,2.540853335492305e-16,0.30397616274326467,0.25758344943934597,0.35036887604718336,0.20645967626362108,0.17504560034807926,0.2378737521791629,2.010119311178014,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,right_MB_gain_0.25,altered_output_or_choice_bias,0.0500250125062531,-0.00591108934138898,-0.027700123280519597,-0.027700123280519597,-0.5537254643775867,-0.5537254643775867,1.0322979755641426,1.0322979755641426,-0.003768397518796976,0.10295397636508524,0.10295397636508524,-0.004887095173825554,0.16504454627719908,0.03704299489884021,-0.137819185340612,-1.5655542898997907,-0.7827751736089108,-0.7827751736089108,,6.775608894646147e-16
weak_oct_strong_mch_conflict,100,50,50,0.88,0.88,1.9113575360277063e-15,0.26490773811702717,0.21720018202197322,0.3126152942120811,0.1795220696553588,0.14716919705704407,0.21187494225367354,2.0162788445043596,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,memory_dependent_CS_plus_rescue,0.0500250125062531,-0.02282384096179154,-0.02627089212532153,-0.02627089212532153,-0.5251551335851776,-0.5251551335851776,0.8976098037092014,0.8976098037092014,-0.011458338897638799,0.08923003189970795,0.08923003189970795,-0.019476516927808062,0.14215227390275967,-0.0002995535740575572,-0.1519804644118264,-2.384731632296056,-0.7556305510653789,-0.7556305510653789,,3.822715072055413e-15
