metric,left_glutamate_kc_activate,right_serotonin_kc_activate,axis_group,serotonin_minus_glutamate_z,right_serotonin_abs_z,left_glutamate_abs_z,abs_z_difference_5ht_minus_glu,dominant_prediction
response_laterality_abs,6.990794002344625,-2.7081310796093736,lateral_readout,-9.698925081953998,2.7081310796093736,6.990794002344625,-4.282662922735252,left_Glu_larger_abs_effect
mbin_abs_mass,2.9233914252492026,0.3092090860606075,memory_output_axis,-2.614182339188595,0.3092090860606075,2.9233914252492026,-2.614182339188595,left_Glu_larger_abs_effect
mbon_abs_mass,-5.35488680775512,-1.7929285545036435,memory_output_axis,3.5619582532514764,1.7929285545036435,5.35488680775512,-3.5619582532514764,left_Glu_larger_abs_effect
memory_axis_abs_mass,3.080748959171996,0.7597949233394629,memory_output_axis,-2.320954035832533,0.7597949233394629,3.080748959171996,-2.320954035832533,left_Glu_larger_abs_effect
apl_abs_mass,-4.011471243474411,-4.042809210066348,modulatory_feedback_axis,-0.03133796659193777,4.042809210066348,4.011471243474411,0.03133796659193777,similar_abs_effect
dan_abs_mass,7.187571602219674,4.235663436858726,modulatory_feedback_axis,-2.9519081653609485,4.235663436858726,7.187571602219674,-2.9519081653609485,left_Glu_larger_abs_effect
dpm_abs_mass,7.184106850889003,4.019215295739726,modulatory_feedback_axis,-3.1648915551492767,4.019215295739726,7.184106850889003,-3.1648915551492767,left_Glu_larger_abs_effect
max_abs_target_score,-2.653010004019817,-3.826963831258972,target_peak,-1.173953827239155,3.826963831258972,2.653010004019817,1.173953827239155,right_5HT_larger_abs_effect
