condition,trial,cs_plus_side,n_steps,requested_run_time_s,simulated_time_s,stopped_early,final_x,final_y,final_z,path_length,mean_y,signed_final_y,distance_to_cs_plus,distance_to_cs_minus,choice,video_frame_count,video_duration_s,render_device,video_path,trajectory_path,plot_path,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,memory_phase,mb_perturbation,expected_behavior,biological_question,source_forward_drive,source_turning_drive,source_feeding_drive,choice_is_cs_plus,approach_margin,expected_choice_met
oct_sucrose_appetitive_wt,2,left,3000,0.35,0.3,False,1.9416992664337158,0.7834292650222778,1.058013916015625,3.1939805782112174,0.2282153803227217,0.7834292650222778,3.024861605587797,4.30708009134106,CS+,0,0.0,2,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.2822184857532632,1.0
oct_sucrose_appetitive_wt,3,left,3000,0.35,0.3,False,1.9778543710708618,0.4595516324043274,1.012953758239746,2.932129125459839,0.1015679736846705,0.4595516324043274,3.2469910460327323,4.007189843502385,CS+,0,0.0,3,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.7601987974696525,1.0
oct_sucrose_left_mb_silenced,0,left,3000,0.35,0.3,False,1.6799051761627197,0.7100962996482849,1.0931895971298218,3.177846656988177,0.09881399129280666,0.7100962996482849,3.2598311226934773,4.375803302738874,CS+,0,0.0,0,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,test whether left MB feedback contributes to appetitive memory stability,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.115972180045397,1.0
oct_sucrose_left_mb_silenced,1,left,3000,0.35,0.3,False,2.3984122276306152,0.2522405683994293,0.9824888110160828,3.4717254834548976,0.0656359069231039,0.2522405683994293,3.1804504848453496,3.62521062937675,CS+,0,0.0,1,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,test whether left MB feedback contributes to appetitive memory stability,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.4447601445314002,1.0
oct_sucrose_left_mb_silenced,2,left,3000,0.35,0.3,False,2.1809921264648438,0.43378329277038574,1.035317063331604,3.310764101515907,0.125242125169408,0.43378329277038574,3.14551392183333,3.8858277555357397,CS+,0,0.0,2,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,test whether left MB feedback contributes to appetitive memory stability,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.7403138337024098,1.0
oct_sucrose_left_mb_silenced,3,left,3000,0.35,0.3,False,1.925002098083496,0.7008940577507019,1.0683090686798096,3.015032419914159,0.20317014774478473,0.7008940577507019,3.0970154062651876,4.242903854632149,CS+,0,0.0,3,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,test whether left MB feedback contributes to appetitive memory stability,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.1458884483669616,1.0
oct_sucrose_mb_swapped,0,left,3000,0.35,0.3,False,1.5185753107070923,0.35042139887809753,1.1204596757888794,2.6741635733228017,0.06344736250393544,0.35042139887809753,3.6301150466831626,4.169267566215039,CS+,0,0.0,0,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_right_MB_weights_swapped,reversed_lateralization_prediction,strongest in-silico causal test for MB lateralization mechanism,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.5391525195318763,1.0
oct_sucrose_mb_swapped,1,left,3000,0.35,0.3,False,1.9812448024749756,0.627784013748169,1.0690650939941406,3.13561241049355,0.23295534453426595,0.627784013748169,3.114928768521529,4.1516489974395805,CS+,0,0.0,1,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_right_MB_weights_swapped,reversed_lateralization_prediction,strongest in-silico causal test for MB lateralization mechanism,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.0367202289180515,1.0
oct_sucrose_mb_swapped,2,left,3000,0.35,0.3,False,1.9131367206573486,0.3749617338180542,0.9344248175621033,3.0601685344058978,0.07926128414425057,0.3749617338180542,3.353479423760981,3.968042974994718,CS+,0,0.0,2,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_right_MB_weights_swapped,reversed_lateralization_prediction,strongest in-silico causal test for MB lateralization mechanism,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.6145635512337368,1.0
oct_sucrose_mb_swapped,3,left,3000,0.35,0.3,False,1.7233192920684814,0.7692270278930664,1.1385271549224854,3.105531670840087,0.1934332372046835,0.7692270278930664,3.1874163673656386,4.403447221628432,CS+,0,0.0,3,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,left_right_MB_weights_swapped,reversed_lateralization_prediction,strongest in-silico causal test for MB lateralization mechanism,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.2160308542627933,1.0
