odor_identity,n_configured_glomeruli,total_glomerulus_weight,n_orn_seeds,n_pn_seeds,n_kc_readout,kc_abs_mass,kc_laterality_index
MCH_4-methylcyclohexanol,3,2.4,158.0,10.0,2203,0.52652335,-0.11584951
OCT_3-octanol,9,5.95,426.0,44.0,2757,0.4612114,-0.06223779
