condition,behavior_condition,root_id,priority_score,abs_score,score,target_direction,side,cell_class,cell_type,hemibrain_type,top_nt,mean_approach_margin,behavioral_side_asymmetry,memory_axis_abs_mass,response_laterality_abs,min_empirical_fdr_q
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940616463477,0.041498054617821654,0.017345287,-0.0035596574,suppressed,left,MBON,MBON22,MBON22,acetylcholine,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940652390134,0.03914653550401379,0.016362403,0.010081729,activated,left,MBON,MBON07,MBON07,glutamate,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940630496374,0.03897451940367675,0.016290504,-0.015206728,suppressed,right,MBON,MBON05,MBON05,glutamate,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940645304430,0.03745771823185683,0.015656514,0.013069996,activated,left,MBON,MBON13,MBON13,acetylcholine,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940630864847,0.03610536578217167,0.01509126,0.011522484,activated,right,MBON,MBON09,MBON09,gaba,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940610964946,0.03454874197039696,0.014440625,0.01125913,activated,right,MBON,MBON09,MBON09,gaba,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
left_glutamate_kc_activate,left_mb_glutamate_enriched,720575940624539284,0.029905608764218796,0.012499896,0.009132271,activated,left,MBON,MBON18,MBON18,acetylcholine,5.869383225949623,-0.0773739828171882,1.1488261073827744,-0.8300210300816938,0.0381633870005963
right_alpha_prime_beta_prime_serotonin_activate,,720575940625934094,0.21861996250000001,0.17489597,0.12278176,activated,right,MBIN,DPM,DPM,dopamine,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940613583001,0.17287697500000002,0.13830158,0.11037867,activated,right,MBIN,APL,APL,gaba,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940624694503,0.0774396821,0.067338854,0.0631249,activated,left,MBON,MBON03,MBON03,glutamate,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940626315010,0.03191363965,0.027750991,0.025910277,activated,right,MBON,MBON13,MBON13,acetylcholine,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940636992368,0.031493934499999994,0.02738603,0.027130013,activated,right,MBON,MBON31,MBON31,gaba,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940620464321,0.028854200349999998,0.025090609,0.023919092,activated,left,MBON,MBON04,MBON04,glutamate,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940629856515,0.02834436395,0.024647273,0.02232745,activated,left,MBON,MBON09,MBON09,gaba,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940629422086,0.024944005999999998,0.02169044,0.019549802,activated,left,MBON,MBON09,MBON09,gaba,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940607155890,0.023281439499999997,0.02024473,0.018379752,activated,right,MBON,MBON26,MBON26,acetylcholine,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940623905719,0.020409947,0.01774778,0.014570935,activated,right,MBON,MBON12,MBON12,acetylcholine,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940626744921,0.01890103085,0.016435679,0.015267229,activated,right,MBON,MBON16,MBON16,acetylcholine,,,,,
right_alpha_prime_beta_prime_serotonin_activate,,720575940623001480,0.0177716607,0.015453618,0.012494957,activated,right,MBON,MBON12,MBON12,acetylcholine,,,,,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940613583001,0.24619871965815793,0.14864506,0.10413418,activated,right,MBIN,APL,APL,gaba,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940625934094,0.20919934604459237,0.1263063,0.06631608,activated,right,MBIN,DPM,DPM,dopamine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940624694503,0.04420880129376909,0.02901253,0.022610748,activated,left,MBON,MBON03,MBON03,glutamate,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940621164720,0.03993919472614081,0.026210552,-0.0047812653,suppressed,left,MBON,MBON05,MBON05,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940635063135,0.03124522161352967,0.020505033,-0.0017292765,suppressed,right,MBON,MBON22,MBON22,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940617749538,0.028260567954971724,0.01854632,0.0076271663,activated,right,MBON,MBON11,MBON11,gaba,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940623381956,0.026907154521275425,0.017658127,0.008957613,activated,right,MBON,MBON07,MBON07,glutamate,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940628783363,0.02620612594136155,0.017198069,0.009699107,activated,right,MBON,MBON07,MBON07,glutamate,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940614026193,0.023182653909743445,0.015213881,0.011401858,activated,right,MBON,MBON14,MBON14,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940622997453,0.022596858375008275,0.014829446,0.009695632,activated,right,MBON,MBON18,MBON18,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940639697827,0.021025073116979234,0.013797944,0.010526108,activated,right,MBON,MBON14,MBON14,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_activate_silence_left_glutamate,bilateral_memory_blunted,720575940626315010,0.018591999968673913,0.012201212,0.009602538,activated,right,MBON,MBON13,MBON13,acetylcholine,2.600229875195387,-5.383162446812895,1.107694149017334,0.8430979756813733,
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940613583001,0.3152092955326033,0.14862667,0.10413702,activated,right,MBIN,APL,APL,gaba,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940625934094,0.26783776773302337,0.12629017,0.0663322,activated,right,MBIN,DPM,DPM,dopamine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940624694503,0.05660454038054107,0.029010898,0.02261238,activated,left,MBON,MBON03,MBON03,glutamate,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940621164720,0.05112477391532847,0.026202414,-0.0047731237,suppressed,left,MBON,MBON05,MBON05,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940635063135,0.03999627941815708,0.02049885,-0.0017230944,suppressed,right,MBON,MBON22,MBON22,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940617749538,0.03618136855894827,0.018543636,0.007629847,activated,right,MBON,MBON11,MBON11,gaba,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940623381956,0.034449194462761595,0.017655864,0.008959876,activated,right,MBON,MBON07,MBON07,glutamate,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940628783363,0.03355226367538327,0.01719617,0.009701006,activated,right,MBON,MBON07,MBON07,glutamate,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940614026193,0.029682728491464007,0.01521296,0.011402779,activated,right,MBON,MBON14,MBON14,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940622997453,0.028931921089636825,0.014828157,0.009696923,activated,right,MBON,MBON18,MBON18,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
right_serotonin_kc_activate,right_mb_serotonin_enriched,720575940639697827,0.02692030170093141,0.013797164,0.010526888,activated,right,MBON,MBON14,MBON14,acetylcholine,3.310999855144108,-5.354379443050295,1.1075391918420792,0.8429483436767284,0.0381633870005963
