condition,n_trials,cs_plus_choice_rate,expected_choice_rate,expected_choice_binom_p,mean_approach_margin,approach_margin_ci_low,approach_margin_ci_high,mean_signed_final_y,signed_final_y_ci_low,signed_final_y_ci_high,mean_path_length,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,mb_perturbation,expected_behavior,expected_choice_fdr_q
mch_sucrose_appetitive_wt_counterbalanced,50,0.86,0.86,2.098677427397888e-07,0.26520971583460706,0.19808919439614692,0.3323302372730672,0.18026908032596112,0.13422370289003524,0.226314457761887,1.9807735043306658,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,wild_type_connectome,approach_CS_plus,2.7982365698638506e-07
oct_shock_aversive_wt,50,0.08,0.92,4.461782054931973e-10,-0.22648173326000795,-0.2812949670650662,-0.17166849945494972,-0.15327100533526392,-0.19006503825342405,-0.11647697241710378,2.0132545058579336,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,wild_type_connectome,avoid_CS_plus,1.7847128219727892e-09
oct_sucrose_appetitive_wt,50,0.8,0.8,2.3861331676755526e-05,0.2522390117183006,0.17688915662939841,0.3275888668072028,0.1703266812954098,0.11931350375401907,0.22133985883680052,2.034103435235801,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,approach_CS_plus,2.3861331676755526e-05
oct_sucrose_left_mb_silenced,50,0.88,0.88,3.243740565039843e-08,0.26013416588516486,0.2023042490514137,0.317964082718916,0.17624399866908788,0.1372527770962579,0.21523522024191785,2.007520316453582,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_MB_gain_0.25,reduced_or_shifted_CS_plus_approach,6.487481130079686e-08
oct_sucrose_mb_swapped,50,0.84,0.84,1.163555804595262e-06,0.30150951585325275,0.23066203419797782,0.3723569975085277,0.20493057722691446,0.15690974848272415,0.25295140597110477,2.043827864339603,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_swapped,reversed_lateralization_prediction,1.3297780623945852e-06
oct_sucrose_mb_symmetrized,50,0.92,0.92,4.461782054931973e-10,0.32215472500689457,0.2618303226829145,0.38247912733087464,0.21870009491220116,0.17741729137895787,0.2599828984454445,2.0282498929180455,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,left_right_MB_weights_averaged,reduced_lateralization_index,1.7847128219727892e-09
oct_sucrose_right_mb_silenced,50,0.9,0.9,4.209852022540872e-09,0.266458827524406,0.19623637460129095,0.336681280447521,0.1809537559375167,0.13342479298672666,0.22848271888830674,2.0121714991425157,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,right_MB_gain_0.25,altered_output_or_choice_bias,1.1226272060108991e-08
weak_oct_strong_mch_conflict,50,0.86,0.86,2.098677427397888e-07,0.2446477176118914,0.1882650887462441,0.30103034647753873,0.16537654608488084,0.12716460356150766,0.20358848860825401,1.9722790121955194,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,wild_type_connectome,memory_dependent_CS_plus_rescue,2.7982365698638506e-07
